,Classifier,Accuracy,Precision,Recall,F1-Score
0,Decision Tree,0.8528480084472341,0.7140656051556007,0.5509930737873451,0.557247909904964
1,Random Forest,0.8536985979937819,0.7405944029973053,0.5375177461108614,0.5341004708087032
